Adı,KategoriIndex,BirimAgirligi,BirimFiyati,StokMiktari
Çimento-Gri,2,50.0,78.50,150
Tuğla-İzo,2,3.5,6.10,4800
Demir-Çubuk-12mm,3,15.0,250.00,100
Beton-Hazır-C30,3,1000.0,350.00,30
Kum-İnce,3,1000.0,165.00,60
Agrega-Çakıl,3,1000.0,140.00,70
Su-Yalıtımı-Membran,2,0.8,95.00,300
İzolasyon-Levhası,2,1.5,42.50,750
Alçı-Sıva,2,25.0,38.00,220
Ahşap-Kiriş-4m,3,10.0,180.00,80
Parke-Meşe,2,7.0,135.00,550
Fayans-Banyo,2,12.0,85.00,400
Pencere-PVC-Standart,2,25.0,450.00,50
Kapı-Çelik-Dış,2,80.0,900.00,20
Su-Borusu-PVC-50mm,3,4.0,55.00,150
Boya-Akrilik-İç,2,10.0,260.00,90
Çatı-Paneli,2,15.0,210.00,110
Kalıp-Yağı,3,5.0,45.50,200
Elektrik-Kablo-NYM,3,0.5,22.50,1200
Menteşe-Takımı,2,0.2,10.99,2500
